title,company,location,semantic_similarity,first_seen_date,url
"Principal Tech Business Development Manager, Devices Business Development, Tech Licensing Business Development ",amazon,"US, WA, Seattle",0.5098,2026-07-26,https://www.amazon.jobs/en/jobs/10484087/principal-tech-business-development-manager-devices-business-development-tech-licensing-business-development
Software Engineer II (Customer & Product Engineering),microsoft,"United States, Multiple Locations, Multiple Locations",0.4967,2026-07-26,https://apply.careers.microsoft.com/careers/job/1970393556938231
"Qualitative Researcher, Employee Listening",netflix,USA - Remote,0.4936,2026-07-26,https://explore.jobs.netflix.net/careers/job/790317331866
Technology Experience Specialist - Studio (12 months FTC),netflix,"Amsterdam,Netherlands",0.4782,2026-07-26,https://explore.jobs.netflix.net/careers/job/790317314729
"Clearable Engineering Operations Technician , AWS Cleared Jobs",amazon,"US, VA, Stafford",0.4595,2026-07-26,https://www.amazon.jobs/en/jobs/10484164/clearable-engineering-operations-technician-aws-cleared-jobs
Data Visualization Engineer 5 - Member Insights Engineering,netflix,USA - Remote,0.4476,2026-07-26,https://explore.jobs.netflix.net/careers/job/790317397849
"Clearable Engineering Operations Tech, AWS Cleared Jobs",amazon,"US, VA, Fredericksburg",0.446,2026-07-26,https://www.amazon.jobs/en/jobs/10484163/clearable-engineering-operations-tech-aws-cleared-jobs
AGC Lease Cost Manager,microsoft,"United States, Multiple Locations, Multiple Locations",0.434,2026-07-26,https://apply.careers.microsoft.com/careers/job/1970393556939490
Engineering Manager - Consumer Authorization Systems,netflix,USA - Remote,0.422,2026-07-26,https://explore.jobs.netflix.net/careers/job/790317331988
Applied Data Solutions Program (Internships),apple,,0.414,2026-07-26,https://jobs.apple.com/en-us/details/200673612-0157/applied-data-solutions-program-internships?team=CORSV
Senior Category Manager,microsoft,"United States, Multiple Locations, Multiple Locations",0.3901,2026-07-26,https://apply.careers.microsoft.com/careers/job/1970393556941368
"Security Software Engineer (L5), Client Security & Protocols Engineering",netflix,USA - Remote,0.3605,2026-07-26,https://explore.jobs.netflix.net/careers/job/790317122473
Capacity Planner (L6) - Studio Infrastructure,netflix,USA - Remote,0.295,2026-07-26,https://explore.jobs.netflix.net/careers/job/790317331094
"Technical Program Manager, Ads Ranking",meta,"Sunnyvale, CA +3 locations",0.2947,2026-07-26,https://www.metacareers.com/profile/job_details/1326061983016624
Head of Characters,netflix,"Vancouver,Canada",0.2909,2026-07-26,https://explore.jobs.netflix.net/careers/job/790317384604
Head of Characters,netflix,"Sydney,Australia",0.284,2026-07-26,https://explore.jobs.netflix.net/careers/job/790317375382
Head of Character Effects (CFX),netflix,"Sydney,Australia",0.2744,2026-07-26,https://explore.jobs.netflix.net/careers/job/790317396721
"Hardware Engineer, AI Accelerator Module Validation",meta,"Menlo Park, CA",0.2708,2026-07-26,https://www.metacareers.com/profile/job_details/1405758674776749
"Hardware Engineer, Accelerator Design",meta,"Menlo Park, CA",0.2694,2026-07-26,https://www.metacareers.com/profile/job_details/1716153689434820
"Mechanical Design Engineer: Robotics Hardware Engineering, Robot Design",meta,"Redmond, WA",0.2575,2026-07-26,https://www.metacareers.com/profile/job_details/3638157606325591
Technical Program Manager - Child Safety (Legal),meta,"Los Angeles, CA +6 locations",0.2498,2026-07-26,https://www.metacareers.com/profile/job_details/1707422943805344
Legal Technical Program Manager - Child Safety,meta,"Los Angeles, CA +6 locations",0.2389,2026-07-26,https://www.metacareers.com/profile/job_details/1671451744154549
Sr Global Operations and Analytics Manager,uber,"New York, New York, United States; Miami, Miami-Dade, United States; Chicago, Cook, United States; Seattle, King, United States; San Francisco, San Francisco, United States",0.2316,2026-07-26,https://www.uber.com/global/en/careers/list/158718/
Capacity Strategy & Planning Manager,meta,"Menlo Park, CA +3 locations",0.1843,2026-07-26,https://www.metacareers.com/profile/job_details/1506391554840264
