title,team,location,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,url
US-Senior Manager,Apple Retail,,2026-06-08,200667053,apple,2026-06-08,2026-06-09,0.2009,https://jobs.apple.com/en-us/details/200667053-2571/us-senior-manager?team=APPST
System Product Design Engineer - iPhone,Hardware,,2026-06-08,200659882,apple,2026-06-08,2026-06-09,0.2256,https://jobs.apple.com/en-us/details/200659882-0836/system-product-design-engineer-iphone?team=HRDWR
"Software Development Engineer Test, Customer Systems",Software and Services,,2026-06-08,200666024,apple,2026-06-08,2026-06-09,0.3224,https://jobs.apple.com/en-us/details/200666024-0157/software-development-engineer-test-customer-systems?team=SFTWR
"Security Software Engineer, OS Security",Software and Services,,2026-06-08,200667231,apple,2026-06-08,2026-06-09,0.2361,https://jobs.apple.com/en-us/details/200667231-0836/security-software-engineer-os-security?team=SFTWR
Acoustics DSP Engineer,Hardware,,2026-06-08,200662749,apple,2026-06-08,2026-06-09,0.1834,https://jobs.apple.com/en-us/details/200662749-0836/acoustics-dsp-engineer?team=HRDWR
WPC Partner Ops Support & Optimization,Software and Services,,2026-06-08,200666600,apple,2026-06-03,2026-06-09,0.1877,https://jobs.apple.com/en-us/details/200666600-0157/wpc-partner-ops-support-optimization?team=SFTWR
"Senior Backend Engineer, Retail Technology",Corporate Functions,,2026-06-08,200667131,apple,2026-06-08,2026-06-09,0.2959,https://jobs.apple.com/en-us/details/200667131-0836/senior-backend-engineer-retail-technology?team=CORSV
"AppleCare Technologies BPR Project Manager, Generative AI",Operations and Supply Chain,Various Locations within Austin Metro Area,2026-06-08,200661843,apple,2026-06-08,2026-06-09,0.3121,https://jobs.apple.com/en-us/details/200661843-0240/applecare-technologies-bpr-project-manager-generative-ai?team=OPMFG
"AIML - Sr Machine Learning Engineer, Data and ML Innovation",Machine Learning and AI,,2026-06-08,200667335,apple,2026-06-08,2026-06-09,0.3766,https://jobs.apple.com/en-us/details/200667335-0836/aiml-sr-machine-learning-engineer-data-and-ml-innovation?team=MLAI
Machine Learning Engineer - AI & ML Evaluation Frameworks,Hardware,,2026-06-08,200665512,apple,2026-06-08,2026-06-09,0.3554,https://jobs.apple.com/en-us/details/200665512-0836/machine-learning-engineer-ai-ml-evaluation-frameworks?team=HRDWR
"Machine Learning Manager, Data for Foundation Models",Machine Learning and AI,,2026-06-08,200667330,apple,2026-06-08,2026-06-09,0.3983,https://jobs.apple.com/en-us/details/200667330-3337/machine-learning-manager-data-for-foundation-models?team=MLAI
"Software Development Engineer in Test, Wireless Technologies and Ecosystems",Software and Services,,2026-06-08,200664179,apple,2026-06-09,2026-06-09,0.3536,https://jobs.apple.com/en-us/details/200664179-3543/software-development-engineer-in-test-wireless-technologies-and-ecosystems?team=SFTWR
Senior Machine Learning Engineer,Software and Services,,2026-06-08,200666339,apple,2026-06-09,2026-06-09,0.4087,https://jobs.apple.com/en-us/details/200666339-0836/senior-machine-learning-engineer?team=SFTWR
"Software Engineer, System Services & Daemons, Core OS",Software and Services,,2026-06-08,200667318,apple,2026-06-09,2026-06-09,0.2868,https://jobs.apple.com/en-us/details/200667318-0505/software-engineer-system-services-daemons-core-os?team=SFTWR
"Sr. Software Engineer - Apple Vision Pro Developer Ecosystem, Vision Products Group",Software and Services,Various Locations within San Francisco Bay Area,2026-06-08,200659830,apple,2026-06-08,2026-06-09,0.281,https://jobs.apple.com/en-us/details/200659830-3401/sr-software-engineer-apple-vision-pro-developer-ecosystem-vision-products-group?team=SFTWR
DRAM NPI Material Management Program Manager,Hardware,,2026-06-08,200666091,apple,2026-06-08,2026-06-09,0.198,https://jobs.apple.com/en-us/details/200666091-0836/dram-npi-material-management-program-manager?team=HRDWR
Display Metrology Engineer,Hardware,,2026-06-08,200667314,apple,2026-06-09,2026-06-09,0.222,https://jobs.apple.com/en-us/details/200667314-0836/display-metrology-engineer?team=HRDWR
AIML Engineer - Human Perception,Machine Learning and AI,,2026-06-08,200667012,apple,2026-06-09,2026-06-09,0.3236,https://jobs.apple.com/en-us/details/200667012-3956/aiml-engineer-human-perception?team=MLAI
Senior Software Engineer: Agentic Evaluation,Machine Learning and AI,,2026-06-08,200666976,apple,2026-06-09,2026-06-09,0.354,https://jobs.apple.com/en-us/details/200666976-0836/senior-software-engineer-agentic-evaluation?team=MLAI
"Software Engineer (Front End), Retail and Marcom Engineering",Software and Services,,2026-06-08,200667258,apple,2026-06-09,2026-06-09,0.3616,https://jobs.apple.com/en-us/details/200667258-0157/software-engineer-front-end-retail-and-marcom-engineering?team=SFTWR
Systems Integration Engineer - Data Center HWE,Hardware,,2026-06-08,200647212,apple,2026-06-08,2026-06-09,0.3395,https://jobs.apple.com/en-us/details/200647212-3956/systems-integration-engineer-data-center-hwe?team=HRDWR
AIML - Machine Learning Research,Machine Learning and AI,,2026-06-08,200666843,apple,2026-06-08,2026-06-09,0.2646,https://jobs.apple.com/en-us/details/200666843-0836/aiml-machine-learning-research?team=MLAI
Solutions Architect,Software and Services,,2026-06-08,200666384,apple,2026-06-08,2026-06-09,0.2474,https://jobs.apple.com/en-us/details/200666384-3956/solutions-architect?team=SFTWR
